#1=α 2=act 3=ϕ 4=ϵg 5=q 
0.298 erf 1.2166313166587754 0.4726690789725388 0.12287430474817002
0.299 erf 1.2159662898964878 0.47258409059850687 0.12325545150499796
0.3 erf 1.2153013527171006 0.4724991454432589 0.1236363956588769
0.301 erf 1.2146365050892258 0.47241424348852284 0.12401713727803498
0.302 erf 1.2139717469814726 0.4723293847160279 0.12439767643076532
0.303 erf 1.2133070783624473 0.4722445691075039 0.12477801318542614
0.304 erf 1.2126424992007523 0.4721597966446817 0.12515814761044028
0.305 erf 1.2119780094649872 0.4720750673092929 0.12553807977429532
0.306 erf 1.2113136091237486 0.47199038108306995 0.12591780974554315
0.307 erf 1.2106492981456296 0.4719057379477463 0.12629733759280015
0.308 erf 1.2099850764992204 0.47182113788505614 0.1266766633847468
0.309 erf 1.2093209441531079 0.47173658087673465 0.1270557871901276
0.31 erf 1.208656901075876 0.4716520669045176 0.12743470907775087
0.311 erf 1.2079929472361064 0.47156759595014197 0.12781342911648877
0.312 erf 1.2073290826023764 0.4714831679953454 0.12819194737527695
0.313 erf 1.206665307143261 0.47139878302186633 0.1285702639231144
0.314 erf 1.2060016208273319 0.4713144410114443 0.12894837882906363
0.315 erf 1.2053380236231588 0.47123014194581936 0.12932629216225
0.316 erf 1.204674515499307 0.4711458858067329 0.129704003991862
0.317 erf 1.2040110964243407 0.4710616725759265 0.13008151438715088
0.318 erf 1.2033477663668195 0.47097750223514334 0.13045882341743054
0.319 erf 1.2026845252953011 0.4708933747661269 0.13083593115207756
0.32 erf 1.2020213731783402 0.47080929015062173 0.13121283766053066
0.321 erf 1.2013583099844887 0.47072524837037333 0.13158954301229098
0.322 erf 1.2006953356822958 0.47064124940712776 0.13196604727692163
0.323 erf 1.2000324502403072 0.47055729324263224 0.1323423505240476
0.324 erf 1.1993696536270673 0.47047337985863463 0.13271845282335581
0.325 erf 1.198706945811117 0.47038950923688394 0.13309435424459462
0.326 erf 1.1980443267609937 0.47030568135912965 0.13347005485757407
0.327 erf 1.197381796445234 0.47022189620712224 0.13384555473216536
0.328 erf 1.1967193548323702 0.4701381537626132 0.13422085393830094
0.329 erf 1.196057001890933 0.4700544540073548 0.13459595254597426
0.33 erf 1.1953947375894498 0.4699707969231 0.13497085062523959
0.331 erf 1.1947325618964462 0.4698871824916029 0.13534554824621212
0.332 erf 1.1940704747804443 0.4698036106946181 0.13572004547906738
0.333 erf 1.1934084762099648 0.46972008151390143 0.13609434239404147
0.334 erf 1.192746566153525 0.4696365949312093 0.13646843906143077
0.335 erf 1.1920847445796403 0.469553150928299 0.13684233555159178
0.336 erf 1.1914230114568236 0.4694697494869291 0.13721603193494095
0.337 erf 1.190761366753585 0.4693863905888583 0.13758952828195453
0.338 erf 1.1900998104384322 0.46930307421584677 0.13796282466316853
0.339 erf 1.1894383424798711 0.4692198003496552 0.1383359211491785
0.34 erf 1.188776962846405 0.46913656897204536 0.1387088178106393
0.341 erf 1.1881156715065346 0.46905338006477976 0.13908151471826505
0.342 erf 1.1874544684287587 0.4689702336096217 0.13945401194282897
0.343 erf 1.1867933535815733 0.4688871295883355 0.1398263095551633
0.344 erf 1.186132326933473 0.46880406798268626 0.14019840762615882
0.345 erf 1.185471388452949 0.46872104877444 0.1405703062267653
0.346 erf 1.1848105381084912 0.4686380719453635 0.14094200542799068
0.347 erf 1.1841497758685875 0.46855513747722444 0.14131350530090153
0.348 erf 1.1834891017017226 0.46847224535179155 0.14168480591662236
0.349 erf 1.18282851557638 0.46838939555083403 0.14205590734633583
0.35 erf 1.1821680174610407 0.4683065880561224 0.14242680966128252
0.351 erf 1.1815076073241833 0.46822382284942776 0.14279751293276075
0.352 erf 1.1808472851342855 0.4681410999125222 0.1431680172321264
0.353 erf 1.1801870508598218 0.4680584192271785 0.14353832263079278
0.354 erf 1.1795269044692647 0.4679757807751706 0.14390842920023061
0.355 erf 1.1788668459267224 0.4678933830173438 0.14427744813372662
0.356 erf 1.1782068752093013 0.46781083295042547 0.14464713948988467
0.357 erf 1.1775469922812913 0.46772832089068583 0.14501665091334479
0.358 erf 1.1768871971110615 0.4676458509022983 0.1453859641929731
0.359 erf 1.1762274896670737 0.46756342305450155 0.14575507900884743
0.36 erf 1.175567869917789 0.467481037330946 0.14612399542439772
0.361 erf 1.1749083378316665 0.46739869371345155 0.1464927135113125
0.362 erf 1.1742488933771638 0.4673163921838 0.14686123334151177
0.363 erf 1.173589536522737 0.4672341327237728 0.14722955498697515
0.364 erf 1.1729302672368394 0.46715191531515254 0.14759767851973804
0.365 erf 1.172271085487924 0.4670697399397228 0.14796560401189182
0.366 erf 1.1716119912444405 0.4669876065792678 0.14833333153558298
0.367 erf 1.1709529844748383 0.4669055152155728 0.14870086116301384
0.368 erf 1.1702940651475644 0.4668234658304238 0.14906819296644166
0.369 erf 1.1696352332310638 0.4667414584056079 0.1494353270181789
0.37 erf 1.1689764886937806 0.46665949292291287 0.1498022633905929
0.371 erf 1.168317831504157 0.46657756936412775 0.1501690021561057
0.372 erf 1.1676592616306332 0.466495687711042 0.15053554338719424
0.373 erf 1.167000779041648 0.4664138479454463 0.1509018871563896
0.374 erf 1.1663423837056395 0.4663320500491322 0.15126803353627766
0.375 erf 1.1656840755910431 0.46625029400389195 0.15163398259949795
0.376 erf 1.1650258546662933 0.4661685797915191 0.15199973441874443
0.377 erf 1.1643677208998229 0.46608690739380765 0.15236528906676491
0.378 erf 1.1637096742600634 0.46600527679255277 0.15273064661636088
0.379 erf 1.1630517147154449 0.4659236879695506 0.1530958071403873
0.38 erf 1.162393842234396 0.465842140906598 0.15346077071175301
0.381 erf 1.1617360567853434 0.46576063558549297 0.15382553740341962
0.382 erf 1.1610783583367135 0.46567917198803416 0.15419010728840238
0.383 erf 1.1604207468569305 0.46559775009602133 0.15455448043976933
0.384 erf 1.1597632223144174 0.4655163698912553 0.15491865693064125
0.385 erf 1.1591057846775963 0.46543503135553743 0.15528263683419194
0.386 erf 1.158448433914888 0.46535373447067024 0.15564642022364755
0.387 erf 1.1577911699947112 0.4652724792184572 0.15601000717228683
0.388 erf 1.1571339928854842 0.4651912655807028 0.1563733977534406
0.389 erf 1.1564769025556243 0.4651100935392122 0.15673659204049212
0.39 erf 1.1558198989735466 0.4650289630757916 0.1570995901068763
0.391 erf 1.1551629821076659 0.4649478741722483 0.1574623920260801
0.392 erf 1.1545061519263957 0.46486682681039043 0.15782499787164206
0.393 erf 1.1538494083981479 0.464785820972027 0.15818740771715245
0.394 erf 1.1531927514913338 0.464704856638968 0.15854962163625275
0.395 erf 1.152536181174364 0.46462393379302447 0.15891163970263583
0.396 erf 1.1518796974156469 0.46454305241600824 0.1592734619900455
0.397 erf 1.1512233001835908 0.46446221248973235 0.15963508857227673
0.398 erf 1.1505669894466024 0.4643814139960106 0.15999651952317528
0.399 erf 1.149910765173088 0.4643006569166576 0.16035775491663734
0.4 erf 1.1492546273314526 0.46421994123348936 0.16071879482660992
0.401 erf 1.1485985758901003 0.4641392669283225 0.1610796393270903
0.402 erf 1.1479426108174344 0.4640586339829748 0.16144028849212597
0.403 erf 1.1472867320818572 0.46397804237926493 0.16180074239581455
0.404 erf 1.14663093965177 0.46389749209901254 0.1621610011123035
0.405 erf 1.1459752334955735 0.46381698312403824 0.16252106471579017
0.406 erf 1.1453196135816677 0.4637365154361636 0.16288093328052167
0.407 erf 1.144664079878451 0.46365608901721134 0.16324060688079423
0.408 erf 1.1440086323543222 0.463575703849005 0.1636000855909539
0.409 erf 1.1433532709776784 0.46349535991336915 0.1639593694853957
0.41 erf 1.142697995716916 0.4634150571921295 0.16431845863856367
0.411 erf 1.1420428065404316 0.46333479566711244 0.16467735312495096
